dmaID,regionName,cityList
#636,Harlingen-Wslco-Brnsvl-McA,['harlingen-wslco-brnsvl-mca']
#637,Cedar Rapids-Wtrlo-IWC&Dub,['cedar rapids-wtrlo-iwc&dub']
#638,St. Joseph,['st. joseph']
#639,"Jackson, TN",['jackson tn']
#640,Memphis,"['memphis', 'Memphis']"
#641,San Antonio,"['san antonio', 'San Antonio']"
#642,"Lafayette, LA",['lafayette la']
#643,Lake Charles,['lake charles']
#644,"Alexandria, LA",['alexandria la']
#647,Greenwood-Greenville,['greenwood-greenville']
#648,Champaign&Sprngfld-Decatur,['champaign&sprngfld-decatur']
#649,Evansville,['evansville']
#650,Oklahoma City,"['oklahoma city', 'Oklahoma City']"
#651,Lubbock,['lubbock']
#652,Omaha,"['omaha', 'Omaha, NE']"
#656,Panama City,['panama city']
#657,Sherman-Ada,['sherman-ada']
#658,Green Bay-Appleton,['green bay-appleton']
#659,Nashville,"['nashville', 'Franklin, TN', 'Nashville']"
#661,San Angelo,['san angelo']
#662,Abilene-Sweetwater,['abilene-sweetwater']
#669,Madison,"['madison', 'Madison, WI']"
#670,Ft. Smith-Fay-Sprngdl-Rgrs,"['ft. smith-fay-sprngdl-rgrs', 'Fayetteville, AR']"
#671,Tulsa,"['tulsa', 'Tulsa, OK']"
#673,Columbus-Tupelo-W Pnt-Hstn,['columbus-tupelo-w pnt-hstn']
#675,Peoria-Bloomington,"['peoria-bloomington', 'Peoria, IL']"
#676,Duluth-Superior,['duluth-superior']
#678,Wichita-Hutchinson Plus,['wichita-hutchinson plus']
#679,Des Moines-Ames,['des moines-ames']
#682,Davenport-R.Island-Moline,['davenport-r.island-moline']
#686,Mobile-Pensacola (Ft Walt),"['mobile-pensacola (ft walt)', 'Pensacola, FL']"
#687,Minot-Bsmrck-Dcknsn(Wlstn),['minot-bsmrck-dcknsn(wlstn)']
#691,Huntsville-Decatur (Flor),['huntsville-decatur (flor)']
#692,Beaumont-Port Arthur,['beaumont-port arthur']
#693,Little Rock-Pine Bluff,"['little rock-pine bluff', 'Conway, AR', 'Little Rock, AR']"
